ID,文章,一致数,総アノテーション数,一致率 (%),,一致率 (6分のいくつか）,Gの一致率の数
75,"A: いやー、回転寿司って楽しいですよね。ついつい食べ過ぎちゃいます。
B: 本当にそうですね。私はやっぱり、サーモンが一番好きで、最初に何皿か頼んじゃいますね。
A: 分かります！サーモンは安定の美味しさですよね。私は最近、炙りエンガワにハマっていて、とろけるような食感がたまらないんです。
B: へぇ、炙りエンガワですか！それは知りませんでした。今度試してみます。私はやっぱり、定番のマグロ赤身と、あとはアボカド炙りも意外といけるんですよ。",4,6,66.7%,,,
76,"A: うーん、なんか腕がパンパンなんだよな。昨日、久しぶりにコントローラー握りすぎたかな？
B: え、まさか！ゲームで筋肉痛になるなんて、どれだけ激しいゲームをプレイされたんですか？
A: いやいや、そんな激しいわけじゃなくてね。昔のRPGとか、レベル上げでひたすらボタン連打してた頃を思い出して、つい夢中になっちゃったんだよ。あの頃はゲームボーイとか懐かしいな。",4,6,66.7%,,,
97,"A: 来週の旅行の計画、そろそろ詰めないとですね。Bさんはもうだいぶ進んでいますか？
B: ええ、おかげさまで。行きたい場所のリストアップは終わっていて、あとは交通手段と宿泊先をどうするか、という段階ですね。Aさんはどうですか？
A: 私はまだ漠然としているんです…。どこか良い場所があれば教えてほしいです。Bさんはいつも情報収集がお上手ですから、何か秘訣でもあるんですか？
B: 秘訣なんて大げさですよ。いつも通り、ネットで評判の良いところをいくつか見て、あとは直感で決めるだけです。特に難しいことはしていませんよ。",4,6,66.7%,,,
103,"A: いやー、今年の夏は本当に暑いですね。もう耐えられませんよ。
B: 本当ですね。私も携帯扇風機を手放せなくなりました。これがないと外に出られませんよ。
A: 分かります。でも、なんだかんだ言って、夏の風物詩って良いものですよね。団扇の涼しさとか、夜空を彩る花火とか、風情がありますもん。",4,6,66.7%,,,
4,"A: 先日行ったハワイ旅行、本当に素晴らしかったですね。青い海と白い砂浜、最高でした。
B: ええ、私もです。特にダイヤモンドヘッドからの眺めは忘れられません。あんなに感動したのは久しぶりでしたよ。
A: あの絶景を眺めていると、日常の悩みなんてちっぽけに感じますよね。またすぐにでも行きたくなってしまいます。
B: そうですね。次はいつ行けるか、今から計画を練らないと、あの感動が薄れてしまいそうです。",3,6,50.0%,,,
11,"A: この間、100円ショップで買ったこのマグカップ、デザインが可愛くて気に入ってるんですよ。
B: へえ、それは良かったですね。私も最近、そこで買ったキッチン用品が意外と使いやすくて驚きましたよ。
A: ですよね！100円なのに、結構しっかりしていて、驚くことばかりです。
B: ええ、本当に。なんだかんだ言って、100円ショップにはお世話になりっぱなしですよね。",3,6,50.0%,,,
18,"A: 最近、ふるさと納税のことばかり考えてしまうんですよ。楽天のキャンペーンがまた始まって、すごくお得なんです。
B: へぇ、そうなんですね。私はまだ全然手をつけていなくて。どんな返礼品が人気なんですか？
A: いやー、もう色々と目移りしちゃって！お肉とか海鮮とか、普段なかなか買えないものがたくさんあって。楽天ポイントもすごく貯まるから、実質タダみたいなもんですよ、感覚的には。
B: それはまた、ずいぶんと賢いお買い物計画ですね。まるで節約のプロフェッショナルみたいです。",3,6,50.0%,,,
19,"A: 最近購入されたダイソンのコードレス掃除機、使い心地はいかがですか？吸引力はやはりすごいのでしょうか。
B: ええ、本当によく吸い取ってくれますよ。特にペットの毛とか、あっという間になくなります。ただ、バッテリーの持ちが思ったより短いのが少し気になりますね。
A: なるほど、バッテリーですか。それでも、コードレスの便利さは格別ですよね。私は次に、自動で掃除してくれるルンバが気になっているんです。
B: ルンバ、いいですね！我が家も検討しているんですよ。でも、家具の配置とか、段差とか、ちゃんと掃除してくれるのか少し心配で。",3,6,50.0%,,,
20,"A: いやー、もうこんな時間ですね。子供の頃って、一日の感覚がもっと長かった気がします。
B: 本当にそうですね。夏休みなんて、永遠に続くかと思っていましたよ。
A: あと、近所の人とか、知らない大人にも気軽に話しかけられましたよね。今みたいに、すぐスマホ見たりしないから、余計にそうだったのかもしれません。",3,6,50.0%,,,
25,"A: 子供の頃、どんな絵本が好きでしたか？私は「ぐりとぐら」が大好きでしたね。あのカステラ、本当に美味しそうでした。
B: わかります！私も「ぐりとぐら」はよく読みました。あと、「三びきのやぎのがらがらどん」も印象深いです。あのトロルが怖かったですけど、最後はスカッとしましたね。
A: ああ、懐かしいですね！あの「がらがらどん」の歌もつい口ずさんでしまいます。子供の頃の記憶って、本当に鮮明に残るものですね。",3,6,50.0%,,,
26,"A: AEさん、こんにちは。最近、髪型を変えられたのですか？とても素敵です。
B: ADさん、ありがとうございます。ええ、少しだけカットしてもらいました。なんだか美容室に行くのが久しぶりで、気分転換になりましたよ。
A: そうなんですね！私は最近、在宅勤務が続いているので、なかなか美容室に行く機会がなくて。髪が伸び放題になってしまっています。
B: あら、それは大変ですね。でも、ADさんもきっと伸びてもお似合いだと思いますよ。芸術的な雰囲気が出て、ますます個性的になるんじゃないでしょうか。",3,6,50.0%,,,
41,"A: いやー、今日の夜は涼しくて助かりますね。クーラーをつけずに眠れそうです。
B: 本当ですね。電気代も気になりますし、自然の風が一番です。そういえば、もうすぐ花火大会の時期ですね！
A: そうなんですよ！毎年、どこから見ようか迷うんですよね。人混みは苦手なんですけど、やっぱりあの夜空に咲く大輪の花は感動しますから。
B: わかります！あの壮大な光景を見ると、夏の暑さも吹き飛びますよね。今年はどこか穴場スポットでも探してみましょうか。",3,6,50.0%,,,
42,"A: いやあ、最近の野菜の値段、本当にびっくりしますね。キュウリなんて、もう高級品ですよ。
B: 本当ですね。それに、ウナギもいつの間にか手の届かない高級食材になってしまいました。夏のスタミナ源なのに、困ったものです。
A: そうなんですよ。昔はもっと気軽に食べられたのに。この調子だと、来年の夏はサラダもウナギも贅沢品になってしまいそうですね。",3,6,50.0%,,,
56,"A: 最近、新しい趣味を見つけたんです。DIYで木工を始めたんですよ。やすりで木を磨いていると、無心になれて良いですね。
B: へえ、DIYですか！それはすごいですね。どんなものを作られたんですか？
A: 最初は簡単な棚を作ってみたのですが、だんだん凝ってきて、今はちょっとした家具も作れるようになりました。休日はほとんど工房にこもりっきりです。
B: それは素晴らしいですね。休みのほとんどを費やすほど熱中されているなんて、本当に尊敬します。きっと、ものすごく効率的で生産的な休日を過ごされているんでしょうね。",3,6,50.0%,,,
57,"A: 最近、週末はもっぱら陶芸教室に通ってるんです。土をこねていると、無心になれていいんですよね。
B: それは素敵ですね！私も最近、フラワーアレンジメントを始めたんですよ。お花を触っていると、心が癒やされます。
A: お互い、没頭できる趣味があって幸せですね。そういう時間があると、日常の疲れも吹き飛びます。
B: 本当にそう思います。こうして、何かを作ることに集中できる時間があるのは、最高ですよね。",3,6,50.0%,,,
63,"A: 来週、健康診断なんですけど、前日の食事、どうしようか悩んでいまして。
B: あら、そうなんですね。何か特別な食事制限があるんですか？
A: ええ、基本的には消化の良いものを、と言われています。なので、おかゆとかうどんにしようかと考えています。
B: なるほど。健康診断のために、そんなにストイックに頑張っていらっしゃるんですね。感心します。",3,6,50.0%,,,
67,"A: 最近、ジンクスとかルーティーンについて考えることが多くて。何か信じているものとかありますか？
B: そうですね。昔から、試合前に必ず同じ音楽を聴くというルーティーンはありますよ。験担ぎみたいなものでしょうか。
A: それはいいですね！なんか落ち着きそうです。私も、大事なプレゼン前は必ず緑色の服を着るようにしています。
B: へぇ、緑色ですか。きっと、その服があなたを成功へと導いてくれているのでしょうね。",3,6,50.0%,,,
68,"A: 今日の夕食、何にしましょうか？全然思いつきません。
B: そうですね。いつも迷ってしまいますよね。何か簡単に作れるものがいいのですが。
A: それなら、めんつゆを使えば色々アレンジできますよ！煮物も、うどんのつゆにも、唐揚げの下味にも使えますし。
B: なるほど、めんつゆは本当に万能ですよね。どんな料理でもそれさえあればなんとかなる気がしてきます。",3,6,50.0%,,,
69,"A: いやー、うちのドライヤーがついに壊れちゃって、新しいのを買ったんですよ。
B: あら、それは大変でしたね！どんなドライヤーにしたんですか？
A: それが、最新のやつで、髪がサラサラになるらしいんですよ。風量もすごいって店員さんが言ってて。
B: へえ、それは楽しみですね！これで毎日サロン帰りのような仕上がりになるんじゃないですか？",3,6,50.0%,,,
79,"A: 連休はどちらかへお出かけでしたか？私はパートがほとんどだったので、あまり遠くへは行けませんでしたよ。
B: いいですね！私は実家に帰って、親戚と集まって食事をしました。毎年恒例なんですよ。
A: おお、それは賑やかで楽しかったでしょうね。ご家族の皆さんとゆっくり過ごされたのですね。",3,6,50.0%,,,
80,"A: 今年の夏は、どこかへ旅行に行きたいですね。海と山、どちらがお好みですか？
B: うーん、私はどちらかというと山派かな。自然の中でリフレッシュするのは最高ですよね。でも、熱中症には気をつけないといけませんけど。
A: 確かに、山登りは素晴らしい体験になりますよね。ただ、急な天候の変化や、道に迷わないように、しっかり準備しないといけないのが少し大変ですが。
B: そうなんですよ。あと、虫刺され対策も万全にしないと、せっかくの登山が台無しになってしまいますからね。大自然の恵みとは言え、ちょっと厄介なこともありますよね。",3,6,50.0%,,,
83,"A: いやー、今年のズッキーニ、すごいことになっちゃいましたよ！
B: え、どうしたんですか？豊作でした？
A: 豊作どころか、もう「巨大化」ってレベルじゃなくて。まな板に乗らないんですよ、うちのまな板じゃ！
B: それは大変ですね！でも、それだけ愛情込めて育てた証拠じゃないですか！",3,6,50.0%,,,
86,"A: いやー、今日の暑さは本当に異常ですね。ここまで暑いと、外に出るのが億劫になりますよ。
B: 本当ですね。でも、マスクのおかげで、真夏でもメイク崩れをそこまで気にしなくて済むのは、ちょっとした救いかもしれません。
A: ああ、確かに。あの頃は、マスクで顔が蒸れるのも大変でしたけど、メイク直しが楽なのはありがたいことでしたね。そういえば、夏祭りも中止になってばかりで、残念でした。",3,6,50.0%,,,
88,"A: 今日の夕食は何にしましょうか？ 夏野菜がたくさんあるんですよ。
B: いいですね！茄子があるなら、揚げ浸しとか、焼き茄子も美味しそうですね。
A: そうですね。揚げ浸しはさっぱりしてて、夏にはぴったりだと思います。それにしても、今日の夕焼け空、本当に綺麗ですよね。茄子みたいに紫がかった空が広がっています。
B: ええ、本当に息をのむほど美しいです。まるで画家の描いた絵画のようですね。",3,6,50.0%,,,
89,"A: いやー、昨晩は不思議な夢を見たんですよ。空飛ぶクジラが出てきて、虹の上を悠々と泳いでいるんです。
B: それはまた、随分と幻想的な夢ですね。何か良いことの前触れかもしれませんよ。夢占いでは、空飛ぶ生き物は幸運の象徴とされることが多いようですから。
A: そうだと良いのですが。でも、そのクジラが急に泣き出して、僕に「宿題を忘れるな」って言ったんですよ。ちょっと不安になってしまって。",3,6,50.0%,,,
99,"A: 最近、将来のお金のことばかり考えてしまって、少し不安になっているんです。
B: わかりますよ。私も、このままだと老後資金が足りなくなるんじゃないかと、時々ゾッとします。
A: そうなんですよね。節約もしているつもりなのですが、なかなか貯金が増えなくて…。
B: まあ、一生懸命働いて、こうして税金もちゃんと払っているんですから、国が何とかしてくれるでしょう。",3,6,50.0%,,,
1,"A: いやー、今年の夏は本当に暑いですね。なんだか食欲もなくなってしまって。
B: 本当ですね。冷たいものばかり食べているせいか、余計に食が進まない気がします。
A: 分かります。何か美味しいものでも食べて、夏バテを吹き飛ばしたいんですけどね。
B: そうですね。Aさんのおすすめの夏バテ解消メニューとかありますか？",2,6,33.3%,,,
10,"A: いやー、昔の部活のこと思い出すと、マジで青春だったよな。毎日汗水垂らして、練習終わった後、皆でラーメン食いに行ったのが最高の思い出だわ。
B: へー、お前もそんな青春してたんだな。俺なんて、部活より女子マネージャーの顔見てた記憶しかないけど。
A: （苦笑いしながら）そうかよ。俺は全然そういうタイプじゃなかったからな。まあ、あの頃の初恋の相手、今でもたまに思い出すけど。",2,6,33.3%,,,
12,"A: 最近、テレビがない生活に慣れてきました。情報収集はもっぱらスマホかタブレットです。
B: 私もです！ ニュースも、気になる番組のダイジェストも、全部ネットで済ませちゃいます。便利ですよね。
A: ただ、ふとした瞬間に「あれ、あのドラマどうなったんだろう？」とか「世間では何が流行ってるんだろう？」って、情報に乗り遅れてる気がすることもありますね。
B: そうなんですよね。たまに友達に「テレビでやってた〇〇、見た？」とか聞かれると、ちょっと疎外感を感じちゃいます。",2,6,33.3%,,,
13,"A: 最近、周りで病気の話をよく聞くので、保険の見直しを考えているんです。
B: それは良いですね。私もコロナ禍で入院が大変だったという話を聞いたので、不安を感じています。
A: そうなんですよ。もしもの時のために、しっかり準備しておかないといけないなと改めて思いました。
B: そうですね。いざという時に頼りになる保険に入っておくと、心強いですよね。",2,6,33.3%,,,
30,"A: 最近、美味しいお寿司が食べたい気分なんですよね。〇〇さんは、どんなお寿司がお好きですか？
B: 私は、やっぱり新鮮なネタで、職人さんが握ってくれるお寿司が一番ですね。特にマグロとか、とろけるようなのが好きです。
A: わかります！回転寿司も手軽で良いですが、やっぱり特別感のあるお寿司も捨てがたいですよね。〇〇さんのおすすめのお店とかありますか？
B: そうですね、駅前の「すし太郎」はネタが新鮮で、コスパも良いと評判ですよ。何度か行きましたが、いつも満足しています。",2,6,33.3%,,,
35,"A: いやー、この喫茶店のモーニング、本当に落ち着きますね。早起きした甲斐がありました。
B: ええ、本当に。でも、こういう贅沢も、都会だからこそできるのでしょうね。普段はもっとバタバタしていますから。
A: そうなんですよ。つい、美味しいものを食べたり、可愛い雑貨を買ったり、色々とお金を使っちゃいます。これも都会の楽しみ方でしょうか。
B: そうですね。まぁ、その「色々」にいくら使っているか、明細を見たときの悲鳴も、都会の醍醐味、とでも言いますか。",2,6,33.3%,,,
43,"A: 先日、旅行で訪れた古いお寺で、不思議な体験をしたんです。
B: おや、どんな体験でしたか？ 興味がありますね。
A: 誰もいないはずの部屋から、かすかに音楽が聞こえてきたんですよ。まるで誰かが演奏しているかのように。
B: それはまた、神秘的ですね！もしかしたら、そのお寺に宿る精霊の仕業かもしれませんね。",2,6,33.3%,,,
52,"A: イギリス料理って、意外と美味しいものも多いんですよね。
B: そうですね。フィッシュアンドチップスとか、パイとか、シンプルですけど、ちゃんと作ると美味しいですよね。
A: ええ。先日、本格的なローストビーフをいただいたのですが、本当に絶品でしたよ。
B: へえ、それは羨ましいですね！私はなかなかそういう機会に恵まれなくて。",2,6,33.3%,,,
61,"A: いやー、今日の朝も眠かったですよ。アラームが鳴っても、ついつい二度寝しちゃいそうになるんですよね。
B: 分かります、分かります。私もです。夜更かししちゃうと、次の日の朝はもう戦場ですよね。
A: 本当ですよね。もう、社会人になってから、朝型になれた試しがないんですよ。
B: ええ、私もです。どうやっても夜型から抜け出せなくて。",2,6,33.3%,,,
72,"A: 先日、八女へドライブに行ったんですよ。ちょうど良い天気で、とても気持ちが良かったですね。
B: お、いいですね！八女といえば、美味しいお茶がたくさんありますよね。どこかでお茶を楽しまれたんですか？
A: ええ、いくつか候補があったんですが、最終的に一番静かで落ち着ける雰囲気のお店を選びました。普段の喧騒を忘れて、ゆったりと過ごせましたよ。",2,6,33.3%,,,
96,"A: 夜遅くにコーヒーを飲むと、なぜか私、眠くなっちゃうんですよね。不思議な体質なんです。
B: へえ、それは面白いですね！ 私は逆に、コーヒーを飲むとシャキッとしすぎて、なかなか寝付けなくなりますよ。
A: あら、それは大変ですね。私は寝つきが良くなるのは助かるんですが、真夜中に目が覚めてしまうこともあって、ちょっと困るんです。そういえば、納豆の食べ方って、何かこだわりはありますか？
B: 納豆ですか！ 私はキムチと混ぜるのが定番で、たまにひきわり納豆を混ぜるのも好きなんです。風味が豊かになって美味しいですよ。",2,6,33.3%,,,
3,"A: いやー、すごい雨ですね。こんな日は家でゆっくり過ごしたいものです。
B: 本当ですね。私はこういう日、昔の映画を見返したり、読書をしたりしています。雨音を聞きながらだと、より一層趣がありますよね。
A: わかります。そういえば、最近ハマっている芸能人とかいらっしゃいますか？色々な才能をお持ちの方が多いですよね。
B: そうですね。最近は、俳優業に加えて音楽活動もされている〇〇さんが気になっています。歌も上手ですし、演技も素晴らしい。まさに多才ですよね。",1,6,16.7%,,,
5,"A: 今日の晩御飯、何にしようかなって迷ってるんです。外食で美味しい中華を食べたんですけど、家で作るのってなかなか難しいんですよね。
B: わかります。あの絶妙な火加減とか、家庭では出せない味ですよね。特に麻婆豆腐とか、お店の味を再現できたら最高なんですが。
A: そうなんですよ！ あの山椒の痺れる感じとか、挽き肉の旨味とか、どうやったらあんな風になるんでしょうね？",1,6,16.7%,,,
29,"A: いやー、今日も暑いですね。こんな日は車に乗るのも億劫になりますよ。
B: 本当ですね。うちの車もエアコンの効きが悪くなってきた気がして、ちょっと心配なんです。
A: あら、そうなんですね。そういえば、先日コロナに罹ってしまって、しばらく自宅待機だったんですよ。
B: ええっ、そうでしたか！それは大変でしたね。でも、もう回復されたようで何よりです。ワクチンは打たれていましたか？",1,6,16.7%,,,
36,"A: 最近、週に2回ほどジムに通い始めたんですよ。体も少しは引き締まってきた気がします。
B: それは素晴らしいですね！私も何か運動を始めようかと思っているのですが、なかなか重い腰が上がらなくて。
A: でも、一番驚いているのは体の変化なんです。以前は前屈で指先が地面につくなんて夢のまた夢でしたが、今では楽に届くようになりました。
B: へえ、それはすごいですね！普段から体が硬い私には想像もつきません。きっとAさんは元々体が柔らかかったのでしょうね。",1,6,16.7%,,,
59,"A: 先日、友人と石垣島へ旅行に行ったのですが、本当に素晴らしい場所でしたよ。エメラルドグリーンの海は息をのむほど美しかったです。
B: それは素敵ですね！私はまだ海外旅行の経験がほとんどなくて、いつかイタリアのフィレンツェに行って、本場のジェラートを食べるのが夢なんです。
A: フィレンツェですか！絵画のような街並みで、美味しいものもたくさんありますし、きっと感動されると思いますよ。私はまだ国内の離島くらいしか行ったことがないのですが、いつかは世界遺産を巡ってみたいです。
B: 国内の離島も十分魅力的だと思いますが、世界遺産巡りとは、壮大な夢をお持ちでいらっしゃいますね。きっと、そのうち実現されることでしょう。",1,6,16.7%,,,
64,"A: 最近、庭でよく見かけていた鳥さんが全然来なくなってしまって、ちょっと寂しいんです。
B: あら、それは残念ですね。うちの近所も、昔はよく鳴き声が聞こえた鳥が最近ぱったりですよ。
A: そうなんですね。でも、カラスが一生懸命子育てしているのを見ると、ちょっと感動しますね。逞しいなあって。
B: カラスの子育て、確かにすごいですよね。でも、私、動物だとやっぱり猫が一番好きなんですよ。あの気まぐれさがたまらないんです。",1,6,16.7%,,,
82,"A: 最近、扶養から外れて働くことを真剣に考えているんです。でも、税金とか社会保険料のことを考えると、手取りが減るんじゃないかって不安で。
B: わかりますよ。私も同じように悩みました。でも、扶養内で働くよりも、少しでも自分で稼いだ方が将来のためになるかなと思って、思い切ってみたんです。
A: そうなんですね！実際、働き方とか、時間の使い方も変わってきますか？パートの時間を増やしたり、転職したりとか。
B: ええ、大きく変わりましたね。以前は「扶養の範囲内」という制約があったので、どうしても働く時間に上限がありました。それがなくなったことで、より自分のスキルや希望に合った働き方を選べるようになりました。やりがいも増えましたよ。",1,6,16.7%,,,
95,"A: 最近ASMRにハマってるんですけど、聞いてるとすごくリラックスできますね。
B: へえ、ASMRですか。あの、ささやき声とか咀嚼音とか、そういうのですよね。新しい文化として定着しつつあるみたいですね。
A: そうなんです！耳が心地よいっていう感覚が、今までなかった新しい体験で。これをビジネスチャンスと捉えて、色々なクリエイターさんが参入しているみたいですよ。
B: なるほど、確かに。眠れない夜の友や、癒やしの時間として需要があるのかもしれませんね。チャンスを活かせるかどうか、腕の見せ所ですね。",1,6,16.7%,,,
100,"A: 最近、昔の友達から年賀状が来なくなったんですよ。寂しいものですね。
B: わかります。LINEがあるから、もう書く必要がないと思っているのかもしれませんね。
A: そうでしょうか。でも、手書きの文字って、温かみがあって嬉しいものだと思うのですが。
B: そうですね。LINEのスタンプ一つで済む時代ですから、手間をかけてくれる人は少ないのでしょうね。",1,6,16.7%,,,
62,"A: いやー、庭に蜂の巣ができてしまって、本当に困っていたんですよ。で、思い切って専門業者に駆除をお願いしたんです。
B: あら、それは大変でしたね。でも、プロに任せれば安心ですね。いくらぐらいかかったんですか？
A: それがですね、結構な金額になってしまいまして…。でも、もう蜂がブンブン飛んでいて怖かったので、仕方ないかなと。",0,6,0.0%,,,
78,"A: いやー、〇〇君（甥）もすっかり大きくなって、おじさんもびっくりしましたよ。
B: そうでしょう？もう大学も卒業して、立派に就職したんですよ。
A: それは素晴らしい！でも、その分、孫たちに仕送りするお金が減ってしまうのは、ちょっと寂しい気もしますね。",0,6,0.0%,,,
87,"A: いやー、昔は「オタク」って言われると、ちょっと隠れてアニメ見てましたよね。
B: そうそう！今みたいに気軽に話せる雰囲気じゃなかったですからね。でも、最近はアニメもすごくメジャーになりましたよね。
A: 本当に。電車の中とかでも平気でスマホでアニメ見てる人がいますもんね。文化として定着したって感じでしょうか。",0,6,0.0%,,,
104,"A: もし夫婦間でテレパシーが使えたら、どれだけ楽になるでしょうね？

B: そうですね。言わなくても気持ちが分かれば、喧嘩も減るかもしれません。

A: ですよね。でも、逆に言わなくても分かってしまうからこそ、サプライズとかなくなってしまって、それはそれで寂しい気もします。

B: なるほど、そういう考え方もありますね。いつも私の気持ちを察してくれているんですか？",0,6,0.0%,,,